"BiostimVar","BSPretty","Stratum","BIgoal","Prob","Prob2","LowestThreshold","LowestValidatedThreshold"
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG3","p50","50% rel prob",5.63063063063063,5.63063063063063
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG3","p80","80% rel prob",1.95195195195195,1.95195195195195
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG3","p90","90% rel prob",0.975975975975976,0.975975975975976
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG3","p95","95% rel prob",0.45045045045045,0.525525525525526
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG4","p50","50% rel prob",15.0900900900901,15.0900900900901
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG4","p80","80% rel prob",6.75675675675676,6.75675675675676
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG4","p90","90% rel prob",3.67867867867868,3.67867867867868
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","BCG4","p95","95% rel prob",1.95195195195195,1.95195195195195
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref01","p50","50% rel prob",9.90990990990991,9.90990990990991
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref01","p80","80% rel prob",4.2042042042042,4.2042042042042
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref01","p90","90% rel prob",2.17717717717718,2.17717717717718
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref01","p95","95% rel prob",1.12612612612613,1.12612612612613
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref10","p50","50% rel prob",7.13213213213213,7.13213213213213
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref10","p80","80% rel prob",2.7027027027027,2.7027027027027
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref10","p90","90% rel prob",1.35135135135135,1.35135135135135
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref10","p95","95% rel prob",0.675675675675676,0.675675675675676
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref30","p50","50% rel prob",5.55555555555556,5.55555555555556
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref30","p80","80% rel prob",1.95195195195195,1.95195195195195
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref30","p90","90% rel prob",0.900900900900901,0.900900900900901
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Arid","Ref30","p95","95% rel prob",0.45045045045045,0.525525525525526
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG3","p50","50% rel prob",4.87987987987988,4.87987987987988
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG3","p80","80% rel prob",1.72672672672673,1.72672672672673
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG3","p90","90% rel prob",0.825825825825826,0.825825825825826
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG3","p95","95% rel prob",0.375375375375375,0.375375375375375
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG4","p50","50% rel prob",12.7627627627628,14.4894894894895
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG4","p80","80% rel prob",6.38138138138138,6.38138138138138
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG4","p90","90% rel prob",3.67867867867868,3.67867867867868
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","BCG4","p95","95% rel prob",2.02702702702703,2.02702702702703
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref01","p50","50% rel prob",9.00900900900901,9.00900900900901
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref01","p80","80% rel prob",4.2042042042042,4.2042042042042
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref01","p90","90% rel prob",2.32732732732733,2.32732732732733
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref01","p95","95% rel prob",1.2012012012012,1.2012012012012
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref10","p50","50% rel prob",6.08108108108108,6.08108108108108
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref10","p80","80% rel prob",2.47747747747748,2.47747747747748
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref10","p90","90% rel prob",1.27627627627628,1.27627627627628
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref10","p95","95% rel prob",0.600600600600601,0.600600600600601
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref30","p50","50% rel prob",4.65465465465465,4.65465465465465
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref30","p80","80% rel prob",1.72672672672673,1.72672672672673
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref30","p90","90% rel prob",0.825825825825826,0.825825825825826
"Ash_Free_Dry_Mass_mgPercm2","AFDM","California","Ref30","p95","95% rel prob",0.375375375375375,0.375375375375375
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG3","p50","50% rel prob",4.8048048048048,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG3","p80","80% rel prob",1.8018018018018,1.8018018018018
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG3","p90","90% rel prob",0.900900900900901,0.900900900900901
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG3","p95","95% rel prob",0.45045045045045,0.825825825825826
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG4","p50","50% rel prob",7.28228228228228,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG4","p80","80% rel prob",4.5045045045045,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG4","p90","90% rel prob",3.003003003003,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","BCG4","p95","95% rel prob",1.95195195195195,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref01","p50","50% rel prob",7.28228228228228,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref01","p80","80% rel prob",4.5045045045045,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref01","p90","90% rel prob",3.003003003003,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref01","p95","95% rel prob",1.87687687687688,Inf
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref10","p50","50% rel prob",5.63063063063063,5.63063063063063
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref10","p80","80% rel prob",2.7027027027027,2.7027027027027
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref10","p90","90% rel prob",1.5015015015015,1.5015015015015
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref10","p95","95% rel prob",0.750750750750751,0.750750750750751
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref30","p50","50% rel prob",3.3033033033033,3.3033033033033
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref30","p80","80% rel prob",1.42642642642643,1.42642642642643
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref30","p90","90% rel prob",0.750750750750751,0.750750750750751
"Ash_Free_Dry_Mass_mgPercm2","AFDM","Wet","Ref30","p95","95% rel prob",0.375375375375375,Inf
"Chlorophyll_a_mgPerm2","Chl-a","Arid","BCG3","p50","50% rel prob",106.306306306306,106.306306306306
"Chlorophyll_a_mgPerm2","Chl-a","Arid","BCG3","p80","80% rel prob",42.6426426426426,42.6426426426426
"Chlorophyll_a_mgPerm2","Chl-a","Arid","BCG3","p90","90% rel prob",21.6216216216216,21.6216216216216
"Chlorophyll_a_mgPerm2","Chl-a","Arid","BCG3","p95","95% rel prob",11.1111111111111,11.1111111111111
"Chlorophyll_a_mgPerm2","Chl-a","Arid","BCG4","p50","50% rel prob",272.972972972973,272.972972972973
"Chlorophyll_a_mgPerm2","Chl-a","Arid","BCG4","p80","80% rel prob",124.624624624625,124.624624624625
"Chlorophyll_a_mgPerm2","Chl-a","Arid","BCG4","p90","90% rel prob",68.1681681681682,68.1681681681682
"Chlorophyll_a_mgPerm2","Chl-a","Arid","BCG4","p95","95% rel prob",36.3363363363363,36.3363363363363
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref01","p50","50% rel prob",193.393393393393,193.393393393393
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref01","p80","80% rel prob",81.3813813813814,81.3813813813814
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref01","p90","90% rel prob",42.6426426426426,42.6426426426426
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref01","p95","95% rel prob",21.9219219219219,21.9219219219219
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref10","p50","50% rel prob",115.915915915916,115.915915915916
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref10","p80","80% rel prob",47.7477477477477,47.7477477477477
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref10","p90","90% rel prob",24.6246246246246,24.6246246246246
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref10","p95","95% rel prob",12.3123123123123,12.3123123123123
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref30","p50","50% rel prob",69.6696696696697,69.6696696696697
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref30","p80","80% rel prob",26.4264264264264,26.4264264264264
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref30","p90","90% rel prob",13.2132132132132,13.2132132132132
"Chlorophyll_a_mgPerm2","Chl-a","Arid","Ref30","p95","95% rel prob",6.60660660660661,13.5135135135135
"Chlorophyll_a_mgPerm2","Chl-a","California","BCG3","p50","50% rel prob",100,100
"Chlorophyll_a_mgPerm2","Chl-a","California","BCG3","p80","80% rel prob",42.9429429429429,42.9429429429429
"Chlorophyll_a_mgPerm2","Chl-a","California","BCG3","p90","90% rel prob",22.8228228228228,22.8228228228228
"Chlorophyll_a_mgPerm2","Chl-a","California","BCG3","p95","95% rel prob",11.7117117117117,11.7117117117117
"Chlorophyll_a_mgPerm2","Chl-a","California","BCG4","p50","50% rel prob",232.432432432432,232.432432432432
"Chlorophyll_a_mgPerm2","Chl-a","California","BCG4","p80","80% rel prob",115.315315315315,115.315315315315
"Chlorophyll_a_mgPerm2","Chl-a","California","BCG4","p90","90% rel prob",66.3663663663664,66.3663663663664
"Chlorophyll_a_mgPerm2","Chl-a","California","BCG4","p95","95% rel prob",36.6366366366366,36.6366366366366
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref01","p50","50% rel prob",168.468468468468,168.468468468468
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref01","p80","80% rel prob",77.7777777777778,77.7777777777778
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref01","p90","90% rel prob",42.6426426426426,42.6426426426426
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref01","p95","95% rel prob",22.5225225225225,22.5225225225225
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref10","p50","50% rel prob",109.309309309309,109.309309309309
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref10","p80","80% rel prob",44.1441441441441,44.1441441441441
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref10","p90","90% rel prob",22.5225225225225,22.5225225225225
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref10","p95","95% rel prob",11.4114114114114,11.4114114114114
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref30","p50","50% rel prob",66.3663663663664,66.3663663663664
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref30","p80","80% rel prob",26.4264264264264,26.4264264264264
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref30","p90","90% rel prob",13.5135135135135,13.5135135135135
"Chlorophyll_a_mgPerm2","Chl-a","California","Ref30","p95","95% rel prob",6.60660660660661,6.60660660660661
"Chlorophyll_a_mgPerm2","Chl-a","Wet","BCG3","p50","50% rel prob",103.903903903904,Inf
"Chlorophyll_a_mgPerm2","Chl-a","Wet","BCG3","p80","80% rel prob",38.7387387387387,38.7387387387387
"Chlorophyll_a_mgPerm2","Chl-a","Wet","BCG3","p90","90% rel prob",19.2192192192192,37.5375375375375
"Chlorophyll_a_mgPerm2","Chl-a","Wet","BCG3","p95","95% rel prob",9.60960960960961,20.4204204204204
"Chlorophyll_a_mgPerm2","Chl-a","Wet","BCG4","p50","50% rel prob",136.636636636637,Inf
"Chlorophyll_a_mgPerm2","Chl-a","Wet","BCG4","p80","80% rel prob",82.5825825825826,Inf
"Chlorophyll_a_mgPerm2","Chl-a","Wet","BCG4","p90","90% rel prob",54.954954954955,54.954954954955
"Chlorophyll_a_mgPerm2","Chl-a","Wet","BCG4","p95","95% rel prob",34.5345345345345,63.0630630630631
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref01","p50","50% rel prob",127.027027027027,Inf
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref01","p80","80% rel prob",77.1771771771772,77.1771771771772
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref01","p90","90% rel prob",51.951951951952,51.951951951952
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref01","p95","95% rel prob",32.7327327327327,32.7327327327327
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref10","p50","50% rel prob",89.1891891891892,Inf
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref10","p80","80% rel prob",42.3423423423423,42.3423423423423
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref10","p90","90% rel prob",23.7237237237237,23.7237237237237
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref10","p95","95% rel prob",12.6126126126126,21.3213213213213
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref30","p50","50% rel prob",81.6816816816817,81.6816816816817
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref30","p80","80% rel prob",34.5345345345345,34.5345345345345
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref30","p90","90% rel prob",17.4174174174174,17.4174174174174
"Chlorophyll_a_mgPerm2","Chl-a","Wet","Ref30","p95","95% rel prob",8.70870870870871,Inf
"Nitrogen_Total_mgPerL","Total N","Arid","BCG3","p50","50% rel prob",0.294294294294294,0.294294294294294
"Nitrogen_Total_mgPerL","Total N","Arid","BCG3","p80","80% rel prob",0.114114114114114,0.114114114114114
"Nitrogen_Total_mgPerL","Total N","Arid","BCG3","p90","90% rel prob",0.057057057057057,0.0660660660660661
"Nitrogen_Total_mgPerL","Total N","Arid","BCG3","p95","95% rel prob",0.027027027027027,0.276276276276276
"Nitrogen_Total_mgPerL","Total N","Arid","BCG4","p50","50% rel prob",Inf,Inf
"Nitrogen_Total_mgPerL","Total N","Arid","BCG4","p80","80% rel prob",1.65165165165165,1.65165165165165
"Nitrogen_Total_mgPerL","Total N","Arid","BCG4","p90","90% rel prob",0.912912912912913,0.912912912912913
"Nitrogen_Total_mgPerL","Total N","Arid","BCG4","p95","95% rel prob",0.486486486486486,0.486486486486486
"Nitrogen_Total_mgPerL","Total N","Arid","Ref01","p50","50% rel prob",2.5975975975976,2.5975975975976
"Nitrogen_Total_mgPerL","Total N","Arid","Ref01","p80","80% rel prob",1.10810810810811,1.10810810810811
"Nitrogen_Total_mgPerL","Total N","Arid","Ref01","p90","90% rel prob",0.585585585585586,0.585585585585586
"Nitrogen_Total_mgPerL","Total N","Arid","Ref01","p95","95% rel prob",0.303303303303303,0.303303303303303
"Nitrogen_Total_mgPerL","Total N","Arid","Ref10","p50","50% rel prob",0.555555555555556,0.555555555555556
"Nitrogen_Total_mgPerL","Total N","Arid","Ref10","p80","80% rel prob",0.237237237237237,0.237237237237237
"Nitrogen_Total_mgPerL","Total N","Arid","Ref10","p90","90% rel prob",0.126126126126126,0.126126126126126
"Nitrogen_Total_mgPerL","Total N","Arid","Ref10","p95","95% rel prob",0.0630630630630631,0.0630630630630631
"Nitrogen_Total_mgPerL","Total N","Arid","Ref30","p50","50% rel prob",0.327327327327327,0.327327327327327
"Nitrogen_Total_mgPerL","Total N","Arid","Ref30","p80","80% rel prob",0.132132132132132,0.132132132132132
"Nitrogen_Total_mgPerL","Total N","Arid","Ref30","p90","90% rel prob",0.0660660660660661,0.0660660660660661
"Nitrogen_Total_mgPerL","Total N","Arid","Ref30","p95","95% rel prob",0.033033033033033,0.192192192192192
"Nitrogen_Total_mgPerL","Total N","California","BCG3","p50","50% rel prob",0.3003003003003,0.3003003003003
"Nitrogen_Total_mgPerL","Total N","California","BCG3","p80","80% rel prob",0.114114114114114,0.114114114114114
"Nitrogen_Total_mgPerL","Total N","California","BCG3","p90","90% rel prob",0.057057057057057,0.0690690690690691
"Nitrogen_Total_mgPerL","Total N","California","BCG3","p95","95% rel prob",0.027027027027027,0.027027027027027
