"Class","Approach","Details","Stringency","Indicator type","Indicator","Threshold","Flag"
"Wadeable streams","Reference","30th percentile of reference values","High","Biointegrity","CSCI",0.92,""
"Wadeable streams","Reference","10th percentile of reference values","Intermediate","Biointegrity","CSCI",0.79,""
"Wadeable streams","Reference","1st percentile of reference values","Low","Biointegrity","CSCI",0.63,""
"RFI-N","Reference","30th percentile of reference values","High","Biointegrity","CSCI",0.73,""
"RFI-N","Reference","10th percentile of reference values","Intermediate","Biointegrity","CSCI",0.61,""
"RFI-N","Reference","1st percentile of reference values","Low","Biointegrity","CSCI",0.44,""
"RFI-S","Reference","30th percentile of reference values","High","Biointegrity","CSCI",0.89,""
"RFI-S","Reference","10th percentile of reference values","Intermediate","Biointegrity","CSCI",0.82,"Biointegrity goal is higher than reference."
"RFI-S","Reference","1st percentile of reference values","Low","Biointegrity","CSCI",0.71,"Biointegrity goal is higher than reference."
"CVF","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.85,""
"CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.67,""
"CVF","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.52,""
"HB","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.74,""
"HB","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.67,""
"HB","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.55,""
"SB2","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.96,"Biointegrity goal is higher than reference."
"SB2","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.75,""
"SB2","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.64,"Biointegrity goal is higher than reference."
"SB1","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",1.1,"Biointegrity goal is higher than reference."
"SB1","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",1,"Biointegrity goal is higher than reference."
"SB1","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.81,"Biointegrity goal is higher than reference."
"SB0","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.99,"Biointegrity goal is higher than reference."
"SB0","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.78,""
"SB0","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.66,"Biointegrity goal is higher than reference."
"CC","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.53,""
"CC","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.45,""
"CC","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.37,""
"SB0_CVF","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.51,""
"SB0_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.47,""
"SB0_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.38,""
"HB_CVF","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.57,""
"HB_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.49,""
"HB_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.39,""
"CC_CVF","Best observed","99th percentile of observed values","High","Biointegrity","CSCI",0.53,""
"CC_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","CSCI",0.45,""
"CC_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","CSCI",0.37,""
"Wadeable streams","Reference","30th percentile of reference values","High","Biointegrity","ASCI_D",0.94,""
"Wadeable streams","Reference","10th percentile of reference values","Intermediate","Biointegrity","ASCI_D",0.86,""
"Wadeable streams","Reference","1st percentile of reference values","Low","Biointegrity","ASCI_D",0.75,""
"RFI-N","Reference","30th percentile of reference values","High","Biointegrity","ASCI_D",0.98,"Biointegrity goal is higher than reference."
"RFI-N","Reference","10th percentile of reference values","Intermediate","Biointegrity","ASCI_D",0.9,"Biointegrity goal is higher than reference."
"RFI-N","Reference","1st percentile of reference values","Low","Biointegrity","ASCI_D",0.78,"Biointegrity goal is higher than reference."
"RFI-S","Reference","30th percentile of reference values","High","Biointegrity","ASCI_D",0.91,""
"RFI-S","Reference","10th percentile of reference values","Intermediate","Biointegrity","ASCI_D",0.8,""
"RFI-S","Reference","1st percentile of reference values","Low","Biointegrity","ASCI_D",0.66,""
"CVF","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_D",1.13,"Biointegrity goal is higher than reference."
"CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",1.02,"Biointegrity goal is higher than reference."
"CVF","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.92,"Biointegrity goal is higher than reference."
"HB","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_D",1.05,"Biointegrity goal is higher than reference."
"HB","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",0.88,"Biointegrity goal is higher than reference."
"HB","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.74,""
"SB2","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_D",0.93,""
"SB2","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",0.77,""
"SB2","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.64,""
"SB1","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_D",1.01,"Biointegrity goal is higher than reference."
"SB1","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",0.85,""
"SB1","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.68,""
"SB0","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_D",1.01,"Biointegrity goal is higher than reference."
"SB0","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",0.77,""
"SB0","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.68,""
"CC","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_D",NA,"Insufficient data"
"CC","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",NA,"Insufficient data"
"CC","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_D",NA,"Insufficient data"
"SB0_CVF","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_D",0.84,""
"SB0_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",0.83,""
"SB0_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.8,"Biointegrity goal is higher than reference."
"HB_CVF","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_D",1.05,"Biointegrity goal is higher than reference."
"HB_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",1.03,"Biointegrity goal is higher than reference."
"HB_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_D",0.96,"Biointegrity goal is higher than reference."
"CC_CVF","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_D",NA,"Insufficient data"
"CC_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_D",NA,"Insufficient data"
"CC_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_D",NA,"Insufficient data"
"Wadeable streams","Reference","30th percentile of reference values","High","Biointegrity","ASCI_H",0.94,""
"Wadeable streams","Reference","10th percentile of reference values","Intermediate","Biointegrity","ASCI_H",0.86,""
"Wadeable streams","Reference","1st percentile of reference values","Low","Biointegrity","ASCI_H",0.75,""
"RFI-N","Reference","30th percentile of reference values","High","Biointegrity","ASCI_H",0.96,"Biointegrity goal is higher than reference."
"RFI-N","Reference","10th percentile of reference values","Intermediate","Biointegrity","ASCI_H",0.9,"Biointegrity goal is higher than reference."
"RFI-N","Reference","1st percentile of reference values","Low","Biointegrity","ASCI_H",0.81,"Biointegrity goal is higher than reference."
"RFI-S","Reference","30th percentile of reference values","High","Biointegrity","ASCI_H",0.91,""
"RFI-S","Reference","10th percentile of reference values","Intermediate","Biointegrity","ASCI_H",0.8,""
"RFI-S","Reference","1st percentile of reference values","Low","Biointegrity","ASCI_H",0.65,""
"CVF","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_H",1.05,"Biointegrity goal is higher than reference."
"CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.94,"Biointegrity goal is higher than reference."
"CVF","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.8,"Biointegrity goal is higher than reference."
"HB","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_H",1.02,"Biointegrity goal is higher than reference."
"HB","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.87,"Biointegrity goal is higher than reference."
"HB","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.74,""
"SB2","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_H",0.88,""
"SB2","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.76,""
"SB2","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.6,""
"SB1","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_H",0.97,"Biointegrity goal is higher than reference."
"SB1","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.86,""
"SB1","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.67,""
"SB0","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_H",0.94,""
"SB0","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.79,""
"SB0","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.64,""
"CC","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_H",NA,"Insufficient data"
"CC","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",NA,"Insufficient data"
"CC","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_H",NA,"Insufficient data"
"SB0_CVF","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_H",0.74,""
"SB0_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.73,""
"SB0_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.72,""
"HB_CVF","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_H",0.95,"Biointegrity goal is higher than reference."
"HB_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",0.93,"Biointegrity goal is higher than reference."
"HB_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_H",0.8,"Biointegrity goal is higher than reference."
"CC_CVF","Best observed","99th percentile of observed values","High","Biointegrity","ASCI_H",NA,"Insufficient data"
"CC_CVF","Best observed","90th percentile of observed values","Intermediate","Biointegrity","ASCI_H",NA,"Insufficient data"
"CC_CVF","Best observed","70th percentile of observed values","Low","Biointegrity","ASCI_H",NA,"Insufficient data"
"Wadeable streams","Reference","70th percentile of reference values","High","Eutrophication","TN",0.131,""
"Wadeable streams","Reference","90th percentile of reference values","Intermediate","Eutrophication","TN",0.233,""
"Wadeable streams","Reference","99th percentile of reference values","Low","Eutrophication","TN",1.639,""
"RFI-N","Reference","70th percentile of reference values","High","Eutrophication","TN",0.33,""
"RFI-N","Reference","90th percentile of reference values","Intermediate","Eutrophication","TN",0.579,""
"RFI-N","Reference","99th percentile of reference values","Low","Eutrophication","TN",2.229,""
"RFI-S","Reference","70th percentile of reference values","High","Eutrophication","TN",0.254,""
"RFI-S","Reference","90th percentile of reference values","Intermediate","Eutrophication","TN",0.351,""
"RFI-S","Reference","99th percentile of reference values","Low","Eutrophication","TN",0.558,""
"CVF","Best observed","1st percentile of observed values","High","Eutrophication","TN",0.037,""
"CVF","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TN",0.143,""
"CVF","Best observed","30th percentile of observed values","Low","Eutrophication","TN",0.32,""
"HB","Best observed","1st percentile of observed values","High","Eutrophication","TN",0.029,""
"HB","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TN",0.43,""
"HB","Best observed","30th percentile of observed values","Low","Eutrophication","TN",1.109,""
"SB2","Best observed","1st percentile of observed values","High","Eutrophication","TN",0.163,""
"SB2","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TN",0.436,""
"SB2","Best observed","30th percentile of observed values","Low","Eutrophication","TN",0.924,""
"SB1","Best observed","1st percentile of observed values","High","Eutrophication","TN",0,""
"SB1","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TN",0.261,""
"SB1","Best observed","30th percentile of observed values","Low","Eutrophication","TN",0.379,""
"SB0","Best observed","1st percentile of observed values","High","Eutrophication","TN",0.341,""
"SB0","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TN",0.497,""
"SB0","Best observed","30th percentile of observed values","Low","Eutrophication","TN",0.781,""
"CC","Best observed","1st percentile of observed values","High","Eutrophication","TN",NA,"Insufficient data"
"CC","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TN",NA,"Insufficient data"
"CC","Best observed","30th percentile of observed values","Low","Eutrophication","TN",NA,"Insufficient data"
"Wadeable streams","Reference","70th percentile of reference values","High","Eutrophication","TP",0.024,""
"Wadeable streams","Reference","90th percentile of reference values","Intermediate","Eutrophication","TP",0.058,""
"Wadeable streams","Reference","99th percentile of reference values","Low","Eutrophication","TP",0.202,""
"RFI-N","Reference","70th percentile of reference values","High","Eutrophication","TP",0.184,""
"RFI-N","Reference","90th percentile of reference values","Intermediate","Eutrophication","TP",0.495,""
"RFI-N","Reference","99th percentile of reference values","Low","Eutrophication","TP",0.547,""
"RFI-S","Reference","70th percentile of reference values","High","Eutrophication","TP",0.055,""
"RFI-S","Reference","90th percentile of reference values","Intermediate","Eutrophication","TP",0.175,""
"RFI-S","Reference","99th percentile of reference values","Low","Eutrophication","TP",0.267,""
"CVF","Best observed","1st percentile of observed values","High","Eutrophication","TP",0.012,""
"CVF","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TP",0.028,""
"CVF","Best observed","30th percentile of observed values","Low","Eutrophication","TP",0.055,""
"HB","Best observed","1st percentile of observed values","High","Eutrophication","TP",0,""
"HB","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TP",0.028,""
"HB","Best observed","30th percentile of observed values","Low","Eutrophication","TP",0.068,""
"SB2","Best observed","1st percentile of observed values","High","Eutrophication","TP",0,""
"SB2","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TP",0.009,""
"SB2","Best observed","30th percentile of observed values","Low","Eutrophication","TP",0.05,""
"SB1","Best observed","1st percentile of observed values","High","Eutrophication","TP",0.007,""
"SB1","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TP",0.011,""
"SB1","Best observed","30th percentile of observed values","Low","Eutrophication","TP",0.048,""
"SB0","Best observed","1st percentile of observed values","High","Eutrophication","TP",0.01,""
"SB0","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TP",0.039,""
"SB0","Best observed","30th percentile of observed values","Low","Eutrophication","TP",0.075,""
"CC","Best observed","1st percentile of observed values","High","Eutrophication","TP",NA,"Insufficient data"
"CC","Best observed","10th percentile of observed values","Intermediate","Eutrophication","TP",NA,"Insufficient data"
"CC","Best observed","30th percentile of observed values","Low","Eutrophication","TP",NA,"Insufficient data"
"Wadeable streams","Reference","70th percentile of reference values","High","Eutrophication","Chl-a",14.3,""
"Wadeable streams","Reference","90th percentile of reference values","Intermediate","Eutrophication","Chl-a",29.7,""
"Wadeable streams","Reference","99th percentile of reference values","Low","Eutrophication","Chl-a",59.9,""
"RFI-N","Reference","70th percentile of reference values","High","Eutrophication","Chl-a",15.4,""
"RFI-N","Reference","90th percentile of reference values","Intermediate","Eutrophication","Chl-a",38,""
"RFI-N","Reference","99th percentile of reference values","Low","Eutrophication","Chl-a",85.3,""
"RFI-S","Reference","70th percentile of reference values","High","Eutrophication","Chl-a",17.9,""
"RFI-S","Reference","90th percentile of reference values","Intermediate","Eutrophication","Chl-a",33.9,""
"RFI-S","Reference","99th percentile of reference values","Low","Eutrophication","Chl-a",131.4,""
"CVF","Best observed","1st percentile of observed values","High","Eutrophication","Chl-a",1.1,""
"CVF","Best observed","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",4.2,""
"CVF","Best observed","30th percentile of observed values","Low","Eutrophication","Chl-a",7.6,""
"HB","Best observed","1st percentile of observed values","High","Eutrophication","Chl-a",4.8,""
"HB","Best observed","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",18.8,""
"HB","Best observed","30th percentile of observed values","Low","Eutrophication","Chl-a",34.7,""
"SB2","Best observed","1st percentile of observed values","High","Eutrophication","Chl-a",7.7,""
"SB2","Best observed","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",18.4,""
"SB2","Best observed","30th percentile of observed values","Low","Eutrophication","Chl-a",61.4,""
"SB1","Best observed","1st percentile of observed values","High","Eutrophication","Chl-a",1,""
"SB1","Best observed","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",5.5,""
"SB1","Best observed","30th percentile of observed values","Low","Eutrophication","Chl-a",26.6,""
"SB0","Best observed","1st percentile of observed values","High","Eutrophication","Chl-a",1.3,""
"SB0","Best observed","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",9,""
"SB0","Best observed","30th percentile of observed values","Low","Eutrophication","Chl-a",43.7,""
"CC","Best observed","1st percentile of observed values","High","Eutrophication","Chl-a",NA,"Insufficient data"
"CC","Best observed","10th percentile of observed values","Intermediate","Eutrophication","Chl-a",NA,"Insufficient data"
"CC","Best observed","30th percentile of observed values","Low","Eutrophication","Chl-a",NA,"Insufficient data"
"Wadeable streams","Reference","70th percentile of reference values","High","Eutrophication","AFDM",11.4,""
"Wadeable streams","Reference","90th percentile of reference values","Intermediate","Eutrophication","AFDM",27.3,""
"Wadeable streams","Reference","99th percentile of reference values","Low","Eutrophication","AFDM",95.4,""
"RFI-N","Reference","70th percentile of reference values","High","Eutrophication","AFDM",13.3,""
"RFI-N","Reference","90th percentile of reference values","Intermediate","Eutrophication","AFDM",26.2,""
"RFI-N","Reference","99th percentile of reference values","Low","Eutrophication","AFDM",32.3,""
"RFI-S","Reference","70th percentile of reference values","High","Eutrophication","AFDM",26.1,""
"RFI-S","Reference","90th percentile of reference values","Intermediate","Eutrophication","AFDM",56.2,""
"RFI-S","Reference","99th percentile of reference values","Low","Eutrophication","AFDM",95.8,""
"CVF","Best observed","1st percentile of observed values","High","Eutrophication","AFDM",2.1,""
"CVF","Best observed","10th percentile of observed values","Intermediate","Eutrophication","AFDM",4.3,""
"CVF","Best observed","30th percentile of observed values","Low","Eutrophication","AFDM",9.2,""
"HB","Best observed","1st percentile of observed values","High","Eutrophication","AFDM",4.1,""
"HB","Best observed","10th percentile of observed values","Intermediate","Eutrophication","AFDM",9.5,""
"HB","Best observed","30th percentile of observed values","Low","Eutrophication","AFDM",22,""
"SB2","Best observed","1st percentile of observed values","High","Eutrophication","AFDM",3.7,""
"SB2","Best observed","10th percentile of observed values","Intermediate","Eutrophication","AFDM",14.6,""
"SB2","Best observed","30th percentile of observed values","Low","Eutrophication","AFDM",28.4,""
"SB1","Best observed","1st percentile of observed values","High","Eutrophication","AFDM",2.2,""
"SB1","Best observed","10th percentile of observed values","Intermediate","Eutrophication","AFDM",7.2,""
"SB1","Best observed","30th percentile of observed values","Low","Eutrophication","AFDM",25,""
"SB0","Best observed","1st percentile of observed values","High","Eutrophication","AFDM",3.2,""
"SB0","Best observed","10th percentile of observed values","Intermediate","Eutrophication","AFDM",15.6,""
"SB0","Best observed","30th percentile of observed values","Low","Eutrophication","AFDM",30,""
"CC","Best observed","1st percentile of observed values","High","Eutrophication","AFDM",NA,"Insufficient data"
"CC","Best observed","10th percentile of observed values","Intermediate","Eutrophication","AFDM",NA,"Insufficient data"
"CC","Best observed","30th percentile of observed values","Low","Eutrophication","AFDM",NA,"Insufficient data"
"Wadeable streams","Reference","70th percentile of reference values","High","Eutrophication","% cover",18,""
"Wadeable streams","Reference","90th percentile of reference values","Intermediate","Eutrophication","% cover",39,""
"Wadeable streams","Reference","99th percentile of reference values","Low","Eutrophication","% cover",68,""
"RFI-N","Reference","70th percentile of reference values","High","Eutrophication","% cover",24,""
"RFI-N","Reference","90th percentile of reference values","Intermediate","Eutrophication","% cover",31,""
"RFI-N","Reference","99th percentile of reference values","Low","Eutrophication","% cover",42,""
"RFI-S","Reference","70th percentile of reference values","High","Eutrophication","% cover",39,""
"RFI-S","Reference","90th percentile of reference values","Intermediate","Eutrophication","% cover",55,""
"RFI-S","Reference","99th percentile of reference values","Low","Eutrophication","% cover",87,""
