"Class","Approach","Details","Stringency","Indicator type","Indicator","Threshold","Flag"
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.78.","Low","Eutrophication","AFDM",37.2,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.96.","High","Eutrophication","AFDM",0.8,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.9.","Intermediate","Eutrophication","AFDM",10,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.81.","Low","Eutrophication","AFDM",29.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.73.","High","Eutrophication","AFDM",70.5,""
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.61.","Intermediate","Eutrophication","AFDM",226.2,""
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.44.","Low","Eutrophication","AFDM",NA,"No threshold identified"
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.91.","High","Eutrophication","AFDM",4.4,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.8.","Intermediate","Eutrophication","AFDM",30.8,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.66.","Low","Eutrophication","AFDM",127.3,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.91.","High","Eutrophication","AFDM",8.4,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Intermediate","Eutrophication","AFDM",32.4,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.65.","Low","Eutrophication","AFDM",257.9,""
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.89.","High","Eutrophication","AFDM",12.8,""
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.82.","Intermediate","Eutrophication","AFDM",28,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.71.","Low","Eutrophication","AFDM",88.5,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 1.13.","High","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 1.02.","Intermediate","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 0.92.","Low","Eutrophication","AFDM",2.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 1.05.","High","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","Intermediate","Eutrophication","AFDM",3.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Low","Eutrophication","AFDM",32.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.85.","High","Eutrophication","AFDM",20.8,""
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","AFDM",139.7,""
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.52.","Low","Eutrophication","AFDM",348.3,""
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 1.05.","High","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 0.88.","Intermediate","Eutrophication","AFDM",10.8,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 0.74.","Low","Eutrophication","AFDM",52.5,""
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 1.02.","High","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 0.87.","Intermediate","Eutrophication","AFDM",15.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 0.74.","Low","Eutrophication","AFDM",58.9,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","AFDM",62.5,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","AFDM",139.7,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.55.","Low","Eutrophication","AFDM",308.7,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.93.","High","Eutrophication","AFDM",0.4,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","AFDM",40.4,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.64.","Low","Eutrophication","AFDM",171,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.88.","High","Eutrophication","AFDM",13.6,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.76.","Intermediate","Eutrophication","AFDM",47.6,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.6.","Low","Eutrophication","AFDM",NA,"No threshold identified"
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.96.","High","Eutrophication","AFDM",1.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.75.","Intermediate","Eutrophication","AFDM",56.1,""
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.64.","Low","Eutrophication","AFDM",183.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 0.85.","Intermediate","Eutrophication","AFDM",17.6,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","AFDM",95.3,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","AFDM",17.6,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.67.","Low","Eutrophication","AFDM",191.4,""
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 1.1.","High","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 1.","Intermediate","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 0.81.","Low","Eutrophication","AFDM",30.8,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","AFDM",40.4,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","AFDM",95.3,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","AFDM",3.6,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.79.","Intermediate","Eutrophication","AFDM",35.6,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.64.","Low","Eutrophication","AFDM",293.5,""
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.99.","High","Eutrophication","AFDM",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.78.","Intermediate","Eutrophication","AFDM",41.2,""
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.66.","Low","Eutrophication","AFDM",154.2,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","High","Eutrophication","AFDM",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","Intermediate","Eutrophication","AFDM",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","Low","Eutrophication","AFDM",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","High","Eutrophication","AFDM",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","Intermediate","Eutrophication","AFDM",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","Low","Eutrophication","AFDM",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.53.","High","Eutrophication","AFDM",335.1,""
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.45.","Intermediate","Eutrophication","AFDM",NA,"No threshold identified"
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.37.","Low","Eutrophication","AFDM",NA,"No threshold identified"
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","% cover",NA,"No threshold identified"
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","% cover",13,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","% cover",66,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","% cover",NA,"No threshold identified"
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","% cover",27,""
"Wadeable streams","Response","Additive model, 50% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","% cover",NA,"No threshold identified"
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.92.","High","Eutrophication","% cover",NA,"No threshold identified"
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","% cover",45,""
"Wadeable streams","Response","Additive model, 50% probability of attaining CSCI score above 0.63.","Low","Eutrophication","% cover",87,""
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.98.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.9.","Intermediate","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_D score above 0.78.","Low","Eutrophication","% cover",51,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.96.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.9.","Intermediate","Eutrophication","% cover",1,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining ASCI_H score above 0.81.","Low","Eutrophication","% cover",45,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.73.","High","Eutrophication","% cover",71,""
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.61.","Intermediate","Eutrophication","% cover",88,""
"RFI-N","Response","Additive model, 50% probability of attaining CSCI score above 0.44.","Low","Eutrophication","% cover",99,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.91.","High","Eutrophication","% cover",NA,"No threshold identified"
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.8.","Intermediate","Eutrophication","% cover",42,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_D score above 0.66.","Low","Eutrophication","% cover",NA,"No threshold identified"
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.91.","High","Eutrophication","% cover",NA,"No threshold identified"
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Intermediate","Eutrophication","% cover",53,""
"RFI-S","Response","Additive model, 50% probability of attaining ASCI_H score above 0.65.","Low","Eutrophication","% cover",NA,"No threshold identified"
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.89.","High","Eutrophication","% cover",15,""
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.82.","Intermediate","Eutrophication","% cover",36,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-S","Response","Additive model, 50% probability of attaining CSCI score above 0.71.","Low","Eutrophication","% cover",76,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 1.13.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 1.02.","Intermediate","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_D score above 0.92.","Low","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 1.05.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","Intermediate","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Low","Eutrophication","% cover",53,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.85.","High","Eutrophication","% cover",29,""
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","% cover",82,""
"CVF","Response","Additive model, 50% probability of attaining CSCI score above 0.52.","Low","Eutrophication","% cover",94,""
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 1.05.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 0.88.","Intermediate","Eutrophication","% cover",4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_D score above 0.74.","Low","Eutrophication","% cover",70,""
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 1.02.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 0.87.","Intermediate","Eutrophication","% cover",23,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Response","Additive model, 50% probability of attaining ASCI_H score above 0.74.","Low","Eutrophication","% cover",NA,"No threshold identified"
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","% cover",67,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","% cover",82,""
"HB","Response","Additive model, 50% probability of attaining CSCI score above 0.55.","Low","Eutrophication","% cover",92,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.93.","High","Eutrophication","% cover",NA,"No threshold identified"
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","% cover",56,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_D score above 0.64.","Low","Eutrophication","% cover",NA,"No threshold identified"
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.88.","High","Eutrophication","% cover",18,""
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.76.","Intermediate","Eutrophication","% cover",NA,"No threshold identified"
"SB2","Response","Additive model, 50% probability of attaining ASCI_H score above 0.6.","Low","Eutrophication","% cover",NA,"No threshold identified"
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.96.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.75.","Intermediate","Eutrophication","% cover",63,""
"SB2","Response","Additive model, 50% probability of attaining CSCI score above 0.64.","Low","Eutrophication","% cover",86,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 0.85.","Intermediate","Eutrophication","% cover",18,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","% cover",99,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","% cover",27,""
"SB1","Response","Additive model, 50% probability of attaining ASCI_H score above 0.67.","Low","Eutrophication","% cover",NA,"No threshold identified"
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 1.1.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 1.","Intermediate","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Response","Additive model, 50% probability of attaining CSCI score above 0.81.","Low","Eutrophication","% cover",39,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","% cover",56,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","% cover",99,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","% cover",NA,"No threshold identified"
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.79.","Intermediate","Eutrophication","% cover",66,""
"SB0","Response","Additive model, 50% probability of attaining ASCI_H score above 0.64.","Low","Eutrophication","% cover",NA,"No threshold identified"
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.99.","High","Eutrophication","% cover",NA,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.78.","Intermediate","Eutrophication","% cover",48,""
"SB0","Response","Additive model, 50% probability of attaining CSCI score above 0.66.","Low","Eutrophication","% cover",84,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","High","Eutrophication","% cover",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","Intermediate","Eutrophication","% cover",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_D score above NA.","Low","Eutrophication","% cover",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","High","Eutrophication","% cover",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","Intermediate","Eutrophication","% cover",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining ASCI_H score above NA.","Low","Eutrophication","% cover",NA,"Insufficient data"
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.53.","High","Eutrophication","% cover",94,""
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.45.","Intermediate","Eutrophication","% cover",98,""
"CC","Response","Additive model, 50% probability of attaining CSCI score above 0.37.","Low","Eutrophication","% cover",NA,"No threshold identified"
